row_id,word,label
0,עושה,neutral_general
1,בא,neutral_general
2,תגידי,informal_everyday
3,יפה,emotional_social
4,יודעת,neutral_general
5,אוהב,emotional_social
6,אוי,informal_everyday
7,הזמן,public_formal
8,אהבה,emotional_social
9,היית,neutral_general
10,בואי,informal_everyday
11,פתאום,neutral_general
12,בוא,informal_everyday
13,סתם,informal_everyday
14,זמן,neutral_general
15,מילים,neutral_general
16,לב,emotional_social
17,מרגיש,emotional_social
18,קשה,neutral_general
19,הולך,neutral_general
20,עדיין,neutral_general
21,נגמר,neutral_general
22,הולכת,neutral_general
23,לאט,neutral_general
24,רואה,neutral_general
25,לראות,neutral_general
26,כלום,informal_everyday
27,אומרים,neutral_general
28,לדבר,neutral_general
29,רציתי,emotional_social
30,תגיד,informal_everyday
31,ימים,neutral_general
32,דיי,informal_everyday
33,אוהבת,emotional_social
34,רחוק,neutral_general
35,איי,neutral_general
36,כמעט,neutral_general
37,שיר,emotional_social
38,שנים,neutral_general
39,אומרת,informal_everyday
40,חזק,neutral_general
41,תראי,informal_everyday
42,חושב,informal_everyday
43,לילה,neutral_general
44,סוף,neutral_general
45,נהיה,informal_everyday
46,כואב,emotional_social
47,תני,informal_everyday
48,אמרת,informal_everyday
49,היי,informal_everyday
50,בני,neutral_general
51,אתמול,neutral_general
52,ראש,neutral_general
53,אמר,neutral_general
54,רבים,neutral_general
55,אלף,neutral_general
56,שנים,neutral_general
57,חג,neutral_general
58,מיליון,neutral_general
59,משרד,public_formal
60,עולים,public_formal
61,נשיא,public_formal
62,נתונים,public_formal
63,שבו,neutral_general
64,שר,public_formal
65,אביב,neutral_general
66,עזה,neutral_general
67,עלייה,public_formal
68,הכנסת,public_formal
69,ארה,neutral_general
70,שעות,neutral_general
71,ועוד,neutral_general
72,קשה,neutral_general
73,שקלים,neutral_general
74,הגיעו,neutral_general
75,נשים,neutral_general
76,יהודים,public_formal
77,עדיין,neutral_general
78,במהלך,public_formal
79,ימים,neutral_general
80,לאומי,public_formal
81,כתב,neutral_general
82,שיעור,neutral_general
83,שבה,neutral_general
84,משפחות,neutral_general
85,טקס,public_formal
86,יצחק,emotional_social
87,בת,neutral_general
88,להגיע,neutral_general
89,עלו,neutral_general
90,ארגון,public_formal
91,עולה,neutral_general
92,נוספים,neutral_general
93,בתי,neutral_general
94,הגיע,neutral_general
95,רבות,neutral_general
96,גבוה,neutral_general
97,שבוע,neutral_general
98,ועד,public_formal
99,מבצע,neutral_general
100,שיר,emotional_social
101,מרגש,emotional_social
102,השיר,neutral_general
103,מטורף,informal_everyday
104,יפה,emotional_social
105,בר,neutral_general
106,מדהים,emotional_social
107,מושלם,emotional_social
108,אלוף,emotional_social
109,סוף,neutral_general
110,מילים,neutral_general
111,חזק,neutral_general
112,אוהב,emotional_social
113,מזל,emotional_social
114,דמעות,emotional_social
115,מחרוזת,neutral_general
116,בוצר,neutral_general
117,מהמם,emotional_social
118,השם,neutral_general
119,לשמוע,neutral_general
120,אוהבים,emotional_social
121,ששון,emotional_social
122,נדיר,neutral_general
123,שירים,emotional_social
124,אמן,emotional_social
125,מלך,public_formal
126,לשיר,emotional_social
127,משה,neutral_general
128,אלופים,emotional_social
129,כיף,informal_everyday
130,צמרמורת,emotional_social
131,סרטון,informal_everyday
132,אחי,informal_everyday
133,תמשיך,neutral_general
134,ביצוע,public_formal
135,גאולה,emotional_social
136,שמח,emotional_social
137,חג,neutral_general
138,זמר,emotional_social
139,מחדש,neutral_general
140,קול,neutral_general
141,אייל,neutral_general
142,אבא,emotional_social
143,צור,public_formal
144,אחלה,informal_everyday
145,רבה,neutral_general
146,בננה,neutral_general
147,פסח,public_formal
148,צמרמורות,emotional_social
149,מלא,neutral_general
